Year,Month,Day,Return
1973,11,16,1.4156
1973,11,19,-3.0516
1973,11,20,-2.0355
1973,11,21,1.1149
1973,11,23,-0.3208
1973,11,26,-2.8761
1973,11,27,-0.9112
1973,11,28,2.0376
1973,11,29,-0.3482
1973,11,30,-1.3873
1973,12,3,-2.1467
1973,12,4,-0.3301
1973,12,5,-1.5279
1973,12,6,2.4523
1973,12,7,2.2135
1973,12,10,1.4921
1973,12,11,-1.95
1973,12,12,-2.5718
1973,12,13,-1.2718
1973,12,14,0.9851
1973,12,17,-0.5788
1973,12,18,2.1456
1973,12,19,0.0844
1973,12,20,-0.2848
1973,12,21,-1.0682
1973,12,24,-0.6842
1973,12,26,3.0571
1973,12,27,2.089
1973,12,28,-0.2046
1973,12,31,0.0103
1974,1,2,0.1333
1974,1,3,2.1704
1974,1,4,-0.9018
1974,1,7,-0.8392
1974,1,8,-1.9884
1974,1,9,-2.809
1974,1,10,-1.1025
1974,1,11,1.3746
1974,1,14,-0.2562
1974,1,15,0.8671
1974,1,16,1.5282
1974,1,17,1.7038
1974,1,18,-1.7883
1974,1,21,-0.1674
1974,1,22,1.2055
1974,1,23,0.5386
1974,1,24,-0.2575
1974,1,25,-0.1962
1974,1,28,-0.5588
1974,1,29,-0.0833
1974,1,30,1.0936
1974,1,31,-0.5048
1974,2,1,-1.2944
1974,2,4,-2.1297
1974,2,5,-0.3109
1974,2,6,0.2796
1974,2,7,0.0429
1974,2,8,-1.0397
1974,2,11,-1.8087
1974,2,12,0.3088
1974,2,13,0.044
1974,2,14,-0.033
1974,2,15,1.4513
1974,2,19,-0.1626
1974,2,20,1.4329
1974,2,21,1.3592
1974,2,22,0.718
1974,2,25,-0.3774
1974,2,26,1.0207
1974,2,27,0.4167
1974,2,28,-0.1867
1974,3,1,-0.7171
1974,3,4,0
1974,3,5,1.8738
1974,3,6,0.6782
1974,3,7,-1.0614
1974,3,8,0.8665
1974,3,11,1.125
1974,3,12,0.2731
1974,3,13,0.5951
1974,3,14,-0.0902
1974,3,15,-0.3713
1974,3,18,-1.2389
1974,3,19,-0.8363
1974,3,20,0.3497
1974,3,21,-0.2357
1974,3,22,-0.0719
1974,3,25,0.3804
1974,3,26,0.3175
1974,3,27,-1.3885
1974,3,28,-1.8325
1974,3,29,-0.8859
1974,4,1,-0.7768
1974,4,2,0.1072
1974,4,3,1.0498
1974,4,4,0
1974,4,5,-1.3993
1974,4,8,-1.0537
1974,4,9,0.6302
1974,4,10,-0.2268
1974,4,11,-0.303
1974,4,15,-0.076
1974,4,16,1.749
1974,4,17,0.7474
1974,4,18,0.4451
1974,4,19,-1.0867
1974,4,22,-0.3947
1974,4,23,-1.6813
1974,4,24,-1.6447
1974,4,25,-0.8084
1974,4,26,0.681
1974,4,29,-0.1996
1974,4,30,0.3444
1974,5,1,2.1149
1974,5,2,-0.141
1974,5,3,-0.8687
1974,5,6,-0.1862
1974,5,7,0.3731
1974,5,8,0.1968
1974,5,9,1.4404
1974,5,10,-1.6028
1974,5,13,-0.8855
1974,5,14,0.0331
1974,5,15,-0.2646
1974,5,16,-0.8071
1974,5,17,-1.683
1974,5,20,-0.3968
1974,5,21,0.0569
1974,5,22,-0.9328
1974,5,23,0.2296
1974,5,24,1.4778
1974,5,28,-0.2371
1974,5,29,-1.6748
1974,5,30,0.6215
1974,5,31,-0.1716
1974,6,3,2.0852
1974,6,4,1.1672
1974,6,5,0.1886
1974,6,6,1.827
1974,6,7,0.6416
1974,6,10,0.5943
1974,6,11,-0.8808
1974,6,12,-0.2384
1974,6,13,0.3041
1974,6,14,-1.1263
1974,6,17,-1.3801
1974,6,18,-0.6553
1974,6,19,-0.6819
1974,6,20,-0.7091
1974,6,21,-0.8502
1974,6,24,0.263
1974,6,25,1.4711
1974,6,26,-1.4722
1974,6,27,-1.5513
1974,6,28,-0.3592
1974,7,1,0.0233
1974,7,2,-1.9995
1974,7,3,-0.0593
1974,7,5,-0.7003
1974,7,8,-3.072
1974,7,9,0.4809
1974,7,10,-1.8287
1974,7,11,-0.125
1974,7,12,4.0806
1974,7,15,0.7577
1974,7,16,-1.1578
1974,7,17,1.0747
1974,7,18,0.0956
1974,7,19,-0.2865
1974,7,22,0.3232
1974,7,23,1.0023
1974,7,24,0.4017
1974,7,25,-1.1884
1974,7,26,-1.8814
1974,7,29,-1.7718
1974,7,30,-0.5436
1974,7,31,-1.4783
1974,8,1,-0.7061
1974,8,2,-0.2032
1974,8,5,0.8907
1974,8,6,1.5513
1974,8,7,2.6453
1974,8,8,-1.3067
1974,8,9,-0.8704
